Comment,Designator,Footprint,LCSC,Quantity
2k,"R1,R10,R11,R2,R3,R4,R9",R_0805_2012Metric,C17604,7
4.3k,"R13,R14,R15,R16,R21,R22,R23,R24,R27,R28,R5,R6,R7,R8",R_0805_2012Metric,C17667,14
5.6k,"R12,R17,R18,R19,R20,R25,R26",R_0805_2012Metric,C4382,7
LED,"D1,D10,D11,D12,D13,D14,D2,D3,D4,D5,D6,D7,D8,D9",LED_0805_2012Metric,C84256,14
PC817,"U1,U10,U11,U12,U13,U14,U2,U3,U4,U5,U6,U7,U8,U9",DIP-4_W7.62mm,C96006,14
HTSW-217-15-T-S,J4,SAMTEC_HTSW-217-15-T-S,,1
2601-3108,J5,CONN8_2601-3108_WAG,,1
2601-3108,J6,CONN8_2601-3108_WAG,,1
Conn_01x03,J2,PinHeader_1x03_P2.54mm_Vertical,,1
Conn_01x03,J1,PinHeader_1x03_P2.54mm_Vertical,,1
